Model,Encoding,Boundary,Imbalanced,Precision(Train),Recall(Train),F1 Score(Train),ROC-AUC(Train),Precision(Test),Recall(Test),F1 Score(Test),ROC-AUC(Test)
LogR_l1_saga,Original,QUANTILE,InstanceHardnessThreshold,0.5714285714285714,0.061855670103092786,0.11162790697674418,0.771475600549498,0.06,0.07228915662650602,0.06557377049180327,0.5969782455154866
LogR_elastic,Original,QUANTILE,InstanceHardnessThreshold,0.631578947368421,0.061855670103092786,0.11267605633802817,0.7719923020754693,0.05555555555555555,0.07228915662650602,0.06282722513089006,0.5971186769704805
LogR_l2_lbfgs,Original,SIGMA,InstanceHardnessThreshold,0.7,0.10824742268041238,0.18749999999999997,0.7867560219471988,0.05286343612334802,0.14457831325301204,0.07741935483870968,0.597932353342062
LogR_l2_newton_cg,Original,SIGMA,InstanceHardnessThreshold,0.7,0.10824742268041238,0.18749999999999997,0.7867098885416923,0.05286343612334802,0.14457831325301204,0.07741935483870968,0.5979571353635316
LogR_l2_saga,Original,SIGMA,InstanceHardnessThreshold,0.6785714285714286,0.0979381443298969,0.17117117117117117,0.7846523386561031,0.05429864253393665,0.14457831325301204,0.07894736842105264,0.5985147308465952
LogR_l2_sag,Original,SIGMA,InstanceHardnessThreshold,0.6785714285714286,0.0979381443298969,0.17117117117117117,0.7850644637452944,0.053811659192825115,0.14457831325301204,0.0784313725490196,0.5985808162371804
LogR_l2_liblinear,Original,SIGMA,InstanceHardnessThreshold,0.6785714285714286,0.0979381443298969,0.17117117117117117,0.7854335309893461,0.05357142857142857,0.14457831325301204,0.0781758957654723,0.5986840746599701
LogR_elastic,Original,SIGMA,InstanceHardnessThreshold,0.6153846153846154,0.08247422680412371,0.14545454545454545,0.7837142927441381,0.05116279069767442,0.13253012048192772,0.0738255033557047,0.6000966498837309
LogR_l1_liblinear,Original,SIGMA,InstanceHardnessThreshold,0.5555555555555556,0.07731958762886598,0.13574660633484165,0.780915532810078,0.053811659192825115,0.14457831325301204,0.0784313725490196,0.6013192296095593
LogR_l1_saga,Original,SIGMA,InstanceHardnessThreshold,0.5555555555555556,0.07731958762886598,0.13574660633484165,0.7819335432915877,0.0547945205479452,0.14457831325301204,0.07947019867549668,0.6014431397169067
